345600.00	   1006.20	    -56.87	     46.97	      0.93
432000.00	   1032.49	    -47.31	     48.21	      0.94
518400.00	   1072.67	    -60.87	     59.17	      0.94
691200.00	   1098.93	   -105.05	     57.53	      0.95
864000.00	   1104.52	   -150.50	     78.61	      0.95
1123200.00	   1083.72	   -194.61	     70.58	      0.95
1382400.00	   1095.59	   -207.70	     62.93	      0.95
1728000.00	   1157.39	   -239.98	     62.65	      0.95
2160000.00	   1150.99	   -289.27	     72.07	      0.96
2678400.00	   1187.26	   -326.56	     74.14	      0.97
3369600.00	   1245.26	   -331.63	    119.35	      0.94
4233600.00	   1288.07	   -325.80	    138.50	      0.93
5270400.00	   1254.28	   -433.02	    217.11	      0.93
6566400.00	   1152.15	   -349.76	    243.82	      0.92
8208000.00	   1293.88	   -301.81	    246.70	      0.89
10281600.00	   1085.09	    -62.35	    315.65	      0.85
