345600.00	   1023.88	    -57.99	     53.95	      0.94
432000.00	   1048.08	    -49.30	     54.39	      0.95
518400.00	   1095.64	    -59.87	     62.19	      0.94
691200.00	   1110.39	    -96.57	     65.81	      0.95
864000.00	   1108.41	   -146.11	     69.34	      0.96
1123200.00	   1086.57	   -190.82	     76.18	      0.96
1382400.00	   1098.37	   -198.16	     66.53	      0.96
1728000.00	   1187.19	   -231.70	     65.73	      0.96
2160000.00	   1179.45	   -284.56	     90.46	      0.96
2678400.00	   1227.07	   -337.00	    105.09	      0.96
3369600.00	   1279.01	   -327.91	    135.61	      0.94
4233600.00	   1314.04	   -359.74	    172.76	      0.93
5270400.00	   1288.63	   -486.12	    241.58	      0.94
6566400.00	   1189.44	   -376.43	    276.65	      0.93
8208000.00	   1273.47	   -329.79	    253.02	      0.95
10281600.00	    980.88	   -154.27	    281.03	      0.93
