     0	  0.014453
    10	  0.014453
    10	  0.014944
    20	  0.014944
    20	  0.015920
    32	  0.015920
    32	  0.017370
    43	  0.017370
    43	  0.019339
    55	  0.019339
    55	  0.021897
    68	  0.021897
    68	  0.025088
    81	  0.025088
    81	  0.028929
    95	  0.028929
    95	  0.033405
   110	  0.033405
   110	  0.038411
   126	  0.038411
   126	  0.043698
   142	  0.043698
   142	  0.048899
   159	  0.048899
   159	  0.053602
   177	  0.053602
   177	  0.057484
   196	  0.057484
   196	  0.060487
   216	  0.060487
   216	  0.062887
   237	  0.062887
   237	  0.065247
   258	  0.065247
   258	  0.068296
   281	  0.068296
   281	  0.072868
   305	  0.072868
   305	  0.079907
   331	  0.079907
   331	  0.090553
   357	  0.090553
   357	  0.106231
   385	  0.106231
   385	  0.128657
   414	  0.128657
   414	  0.159529
   445	  0.159529
   445	  0.199442
   477	  0.199442
   477	  0.245886
   511	  0.245886
   511	  0.292174
   547	  0.292174
   547	  0.330813
   584	  0.330813
   584	  0.360193
   623	  0.360193
   623	  0.387422
   664	  0.387422
   664	  0.425101
   708	  0.425101
   708	  0.488205
   753	  0.488205
   753	  0.595450
   801	  0.595450
   801	  0.772332
   851	  0.772332
   851	  1.046540
   903	  1.046540
   903	  1.419310
   958	  1.419310
   958	  1.805560
  1016	  1.805560
  1016	  2.027150
  1077	  2.027150
  1077	  1.982140
  1141	  1.982140
  1141	  1.761570
  1208	  1.761570
  1208	  1.509000
  1278	  1.509000
  1278	  1.300620
  1352	  1.300620
  1352	  1.154450
  1430	  1.154450
  1430	  1.063480
  1511	  1.063480
  1511	  1.012020
  1597	  1.012020
  1597	  0.990889
  1687	  0.990889
  1687	  0.993581
  1781	  0.993581
  1781	  1.007100
  1880	  1.007100
  1880	  1.025820
  1984	  1.025820
  1984	  1.044490
