     0	  0.000924
    10	  0.000928
    60	  0.000948
   110	  0.000969
   160	  0.000998
   210	  0.001033
   260	  0.001076
   310	  0.001137
   360	  0.001208
   410	  0.002502
   460	  0.002726
   520	  0.007408
   560	  0.008409
   610	  0.009785
   660	  0.058275
   700	  0.074636
   750	  0.107326
   800	  0.165167
   850	  0.285336
   900	  0.525344
   950	  1.008990
  1000	  1.857200
  1100	  2.415280
  1200	  2.490630
  1300	  2.452120
  1400	  2.487340
  1500	  2.608380
  1600	  2.725870
  1700	  2.884610
  1800	  2.978640
  1900	  3.063600
  2000	  3.104980
  2100	  3.115080
  2200	  3.137630
  2300	  3.142930
  2400	  3.176530
  2500	  3.191680
  2600	  3.210540
  2700	  3.210050
  2800	  3.210380
