     0	  0.002441
    10	  0.002447
    21	  0.002465
    33	  0.002495
    46	  0.002547
    61	  0.002625
    77	  0.002734
    95	  0.002881
   114	  0.003064
   136	  0.003291
   159	  0.003578
   185	  0.003936
   214	  0.004406
   245	  0.005030
   280	  0.005876
   318	  0.007068
   359	  0.008789
   410	  0.011457
   456	  0.015614
   520	  0.022765
   573	  0.035246
   660	  0.060812
   714	  0.112680
   795	  0.234604
   885	  0.528782
   983	  1.116730
  1092	  1.730250
  1211	  1.942170
  1342	  1.915210
  1486	  1.846870
  1645	  1.792150
  1819	  1.749690
  2011	  1.715060
  2223	  1.687540
  2455	  1.663940
  2710	  1.651850
